여러분은 평소 체력 관리를 위해 어떤 활동을 하고 계신가요? 모두 선택해주세요.,,,,,,
구분,고유번호,성별,나이,지역,설문일시,문항1
LG,w18365128711552,여,1967년 09월 21일 (만 58 세),서울,2025-01-12 10:21,8
LG,w21022832150543,남,1959년 03월 28일 (만 66 세),경기,2025-01-07 11:12,2
LG,w30581398798412,남,1965년 09월 25일 (만 60 세),인천,2025-01-07 8:59,"5, 7"
KT,w196351737325378,여,1976년 12월 16일 (만 49 세),대구,2025-01-06 10:16,4
LG,w159734286384755,남,1958년 03월 10일 (만 67 세),경기,2025-01-07 2:57,"4, 5"
LG,w17573771339447,남,1980년 10월 12일 (만 45 세),경기,2025-01-09 6:36,4
LG,w13610476984498,남,1955년 01월 12일 (만 70 세),경기,2025-01-07 0:09,1
LG,w9542258729045,남,1949년 12월 15일 (만 76 세),서울,2025-01-07 22:55,4
LG,w343466274037428,여,1985년 10월 31일 (만 40 세),부산,2025-01-06 23:36,4
LG,w316660010537744,남,1981년 03월 12일 (만 44 세),서울,2025-01-07 8:26,"4, 5, 8, 7"
LG,w9457570663314,남,1963년 01월 02일 (만 62 세),대구,2025-01-07 9:28,4
LG,w8130395539206,여,1995년 10월 23일 (만 30 세),전남,2025-01-07 6:29,10
LG,w25646191182326,여,1973년 10월 18일 (만 52 세),경기,2025-01-06 17:33,10
LG,w12372052133799,여,1968년 01월 05일 (만 57 세),인천,2025-01-06 12:06,"4, 2"
LG,w166283494521712,여,1954년 09월 13일 (만 71 세),광주,2025-01-07 5:30,4
LG,w133948499752621,남,1952년 09월 09일 (만 73 세),서울,2025-01-07 0:59,"5, 4, 9"
LG,w13480259001469,남,1964년 03월 01일 (만 61 세),인천,2025-01-08 11:02,8
LG,w185617052134774,여,1954년 11월 01일 (만 71 세),경기,2025-01-06 10:11,10
LG,w313603627147992,여,1983년 01월 17일 (만 42 세),경기,2025-01-06 23:37,10
LG,w12504054245755,남,1985년 월 일 (만 40 세),경북,2025-01-06 12:49,"4, 8"
LG,w225592778872485,여,1953년 12월 24일 (만 72 세),부산,2025-01-07 4:16,"1, 7, 3"
